quantum_series,classical_series,observed_crossover_n,observed_crossover_seconds,projected_crossover_n,projected_crossover_seconds,classification,quantum_exponent,classical_exponent,quantum_fit_r2,classical_fit_r2,min_common_n,max_common_n,quantum_seconds_at_max_common_n,classical_seconds_at_max_common_n,ratio_quantum_over_classical_at_max_common_n,notes
hhl_s1_fixed_m_m4,dense_direct_k100,,,1596001.1261251501,19762.86392338806,far_extrapolated_crossover,1.0965541176759857,1.754324273633405,0.9981055945156931,0.939896653023957,20,5000,35.2329789,2.0019505999953253,17.599324828535863,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m4,dense_direct_k1000,,,1139398.4737290482,13657.1756532312,far_extrapolated_crossover,1.0965541176759857,1.7940851667059203,0.9981055945156931,0.9480617971977766,20,5000,35.2329789,1.8767863999964902,18.773036132436747,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m4,sparse_iterative_k100,,,5.6182055691710255e-05,6.809136884164187e-08,projected_below_measured_range,1.0965541176759857,0.6414154480672287,0.9981055945156931,0.8676378051404698,20,10000,70.4595549,0.0050432999996701255,13970.922789564105,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m4,sparse_iterative_k1000,,,4.6415458619910524e-05,5.5226735331170474e-08,projected_below_measured_range,1.0965541176759857,0.6934440209808915,0.9981055945156931,0.8945440976089829,20,10000,70.4595549,0.0127238999994006,5537.575342726618,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m6,dense_direct_k100,,,18540546.734659385,1460030.6363560793,far_extrapolated_crossover,1.1002720708523954,1.754324273633405,0.9973620007718406,0.939896653023957,20,2000,59.61370170000001,0.1843388999986928,323.3918706275384,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m6,dense_direct_k1000,,,11480023.409670992,861603.7684948121,far_extrapolated_crossover,1.1002720708523954,1.7940851667059203,0.9973620007718406,0.9480617971977766,20,2000,59.61370170000001,0.18401830000220798,323.95528976892365,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m6,sparse_iterative_k100,,,2.070734783807439e-06,8.196722719261734e-09,projected_below_measured_range,1.1002720708523954,0.6414154480672287,0.9973620007718406,0.8676378051404698,20,2000,59.61370170000001,0.0019162000098731369,31110.37542680462,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m6,sparse_iterative_k1000,,,1.123628895185001e-06,4.183273610553333e-09,projected_below_measured_range,1.1002720708523954,0.6934440209808915,0.9973620007718406,0.8945440976089829,20,2000,59.61370170000001,0.00479819999600295,12424.180265445391,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m8,dense_direct_k100,,,211819297.49779287,104751824.98419066,far_extrapolated_crossover,1.1013797735678823,1.754324273633405,0.994734001321645,0.939896653023957,20,500,62.2164081,0.005280700002913363,11781.848630991193,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m8,dense_direct_k1000,,,113954972.02260633,52921805.15184156,far_extrapolated_crossover,1.1013797735678823,1.7940851667059203,0.994734001321645,0.9480617971977766,20,500,62.2164081,0.005406800002674572,11507.066669605594,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m8,sparse_iterative_k100,,,7.008902380581013e-08,9.34233001277576e-10,projected_below_measured_range,1.1013797735678823,0.6414154480672287,0.994734001321645,0.8676378051404698,20,500,62.2164081,0.001370500001939945,45396.86830494898,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s1_fixed_m_m8,sparse_iterative_k1000,,,2.4735656739241907e-08,2.9666879931546374e-10,projected_below_measured_range,1.1013797735678823,0.6934440209808915,0.994734001321645,0.8945440976089829,20,500,62.2164081,0.003407700001844205,18257.595465073,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m4,dense_direct_k100,,,5323868.383697665,163569.3844802597,far_extrapolated_crossover,1.0973164102060102,1.754324273633405,0.9981457030279502,0.939896653023957,20,5000,71.74707330000001,2.0019505999953253,35.838583279810976,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m4,dense_direct_k1000,,,3546938.9972029603,104752.49686985514,far_extrapolated_crossover,1.0973164102060102,1.7940851667059203,0.9981457030279502,0.9480617971977766,20,5000,71.74707330000001,1.8767863999964902,38.22868350928704,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m4,sparse_iterative_k100,,,1.0306020782110913e-05,2.294485652237854e-08,projected_below_measured_range,1.0973164102060102,0.6414154480672287,0.9981457030279502,0.8676378051404698,20,5000,71.74707330000001,0.0033279999915976077,21558.61582967066,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m4,sparse_iterative_k1000,,,6.845932780433803e-06,1.4646635943030945e-08,projected_below_measured_range,1.0973164102060102,0.6934440209808915,0.9981457030279502,0.8945440976089829,20,5000,71.74707330000001,0.007358999995631166,9749.568330288661,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m6,dense_direct_k100,,,51004164.88761591,8617034.795840189,far_extrapolated_crossover,1.0892570648313373,1.754324273633405,0.9974504862398845,0.939896653023957,20,1000,60.2916825,0.03139119999832474,1920.6555500655472,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m6,dense_direct_k1000,,,30052949.060598753,4843232.274245541,far_extrapolated_crossover,1.0892570648313373,1.7940851667059203,0.9974504862398845,0.9480617971977766,20,1000,60.2916825,0.03194390000135172,1887.423968189505,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m6,sparse_iterative_k100,,,2.2126147929107946e-07,1.952925100637477e-09,projected_below_measured_range,1.0892570648313373,0.6414154480672287,0.9974504862398845,0.8676378051404698,20,1000,60.2916825,0.0014973999932408333,40264.24654210816,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m6,sparse_iterative_k1000,,,8.797343011706259e-08,7.15120127115603e-10,projected_below_measured_range,1.0892570648313373,0.6934440209808915,0.9974504862398845,0.8945440976089829,20,1000,60.2916825,0.003986099996836856,15125.48168581924,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m8,dense_direct_k100,,,1078212161.9473727,1819744684.8891342,far_extrapolated_crossover,1.1148874750945272,1.754324273633405,0.9900288521046614,0.939896653023957,20,250,67.2261051,0.001694499995210208,39673.12203601417,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m8,dense_direct_k1000,,,520888047.9235393,808631766.3486979,far_extrapolated_crossover,1.1148874750945272,1.7940851667059203,0.9900288521046614,0.9480617971977766,20,250,67.2261051,0.0015483000024687499,43419.301810249046,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m8,sparse_iterative_k100,,,2.1518835214335602e-08,4.380435778889975e-10,projected_below_measured_range,1.1148874750945272,0.6414154480672287,0.9900288521046614,0.8676378051404698,20,250,67.2261051,0.0013195999927120283,50944.30544959128,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
hhl_s2_fixed_m_m8,sparse_iterative_k1000,,,6.787018549477388e-09,1.2100488864767932e-10,projected_below_measured_range,1.1148874750945272,0.6934440209808915,0.9900288521046614,0.8945440976089829,20,250,67.2261051,0.0029181999998399988,23036.839525627413,Projected crossovers are log-log power-law extrapolations and must not be cited as measured quantum advantage.
